nr,year,union,married,educ
13,1980,0,0,14
13,1981,1,0,14
13,1982,0,0,14
13,1983,0,0,14
13,1984,0,0,14
13,1985,0,0,14
13,1986,0,0,14
13,1987,0,0,14
17,1980,0,0,13
17,1981,0,0,13
17,1982,0,0,13
17,1983,0,0,13
17,1984,0,0,13
17,1985,0,0,13
17,1986,0,0,13
17,1987,0,0,13
18,1980,0,1,12
18,1981,0,1,12
18,1982,0,1,12
18,1983,0,1,12
18,1984,0,1,12
18,1985,0,1,12
18,1986,0,1,12
18,1987,0,1,12
45,1980,1,0,12
45,1981,1,0,12
45,1982,0,0,12
45,1983,0,0,12
45,1984,0,0,12
45,1985,0,0,12
45,1986,0,0,12
45,1987,0,1,12
110,1980,1,0,12
110,1981,0,0,12
110,1982,0,0,12
110,1983,0,0,12
110,1984,0,1,12
110,1985,0,1,12
110,1986,0,1,12
110,1987,0,1,12
120,1980,0,0,10
120,1981,0,0,10
120,1982,0,0,10
120,1983,0,0,10
120,1984,0,0,10
120,1985,0,0,10
120,1986,0,0,10
120,1987,0,0,10
126,1980,0,0,13
126,1981,0,0,13
126,1982,0,0,13
126,1983,0,0,13
126,1984,0,0,13
126,1985,0,1,13
126,1986,0,1,13
126,1987,0,1,13
150,1980,0,0,12
150,1981,0,0,12
150,1982,0,0,12
150,1983,0,0,12
150,1984,0,0,12
150,1985,0,0,12
150,1986,0,0,12
150,1987,1,0,12
162,1980,1,0,11
162,1981,0,0,11
162,1982,0,0,11
162,1983,0,0,11
162,1984,0,0,11
162,1985,0,0,11
162,1986,0,0,11
162,1987,0,0,11
166,1980,1,0,10
166,1981,1,0,10
166,1982,1,0,10
166,1983,1,0,10
166,1984,1,0,10
166,1985,0,0,10
166,1986,0,1,10
166,1987,0,1,10
189,1980,0,0,14
189,1981,0,0,14
189,1982,0,0,14
189,1983,0,0,14
189,1984,0,0,14
189,1985,0,0,14
189,1986,0,0,14
189,1987,0,0,14
193,1980,0,0,14
193,1981,0,0,14
193,1982,0,0,14
193,1983,0,0,14
193,1984,0,0,14
193,1985,0,1,14
193,1986,0,1,14
193,1987,0,1,14
209,1980,0,0,11
209,1981,0,0,11
209,1982,0,0,11
209,1983,0,0,11
209,1984,0,0,11
209,1985,0,0,11
209,1986,0,0,11
209,1987,0,0,11
212,1980,0,0,11
212,1981,0,0,11
212,1982,1,0,11
212,1983,0,0,11
212,1984,0,0,11
212,1985,0,0,11
212,1986,0,1,11
212,1987,1,1,11
218,1980,0,0,15
218,1981,0,0,15
218,1982,0,0,15
